wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
4.950268817204300831e+02,1.898101898101897667e-02,5.063172043010752077e+02,2.507492507492507516e-01,5.171370967741935374e+02,1.788211788211788167e-01,4.275000000000000000e+02,2.591630037709628798e-02,2.614667258997933896e-02,2.246714605021066513e-01
5.044354838709676869e+02,1.818181818181818787e-02,5.147849462365591080e+02,2.843156843156843250e-01,5.246639784946236205e+02,1.524475524475524812e-01,4.300000000000000000e+02,2.369284400838946730e-02,2.675543810865782871e-02,2.312588122367977561e-01
5.124327956989246786e+02,2.057942057942058200e-02,5.227822580645160997e+02,3.154845154845155042e-01,5.326612903225806122e+02,1.220779220779221047e-01,4.325000000000000000e+02,2.144981200988376607e-02,2.747519399993363087e-02,2.373682518143130360e-01
5.237231182795699169e+02,2.297702297702297614e-02,5.312500000000000000e+02,3.410589410589410786e-01,5.406586021505376038e+02,9.330669330669331962e-02,4.350000000000000000e+02,1.917927751492659941e-02,2.836305234170062931e-02,2.430340851074301867e-01
5.345430107526881329e+02,2.857142857142856707e-02,5.378360215053762658e+02,3.546453546453546823e-01,5.505376344086021163e+02,7.012987012987013935e-02,4.375000000000000000e+02,1.693213059209054336e-02,2.950488629871689597e-02,2.482906179889265985e-01
5.439516129032258505e+02,3.576423576423576334e-02,5.444220430107526454e+02,3.666333666333666530e-01,5.627688172043010582e+02,5.894105894105895749e-02,4.400000000000000000e+02,1.486936298561796974e-02,3.100650081013376150e-02,2.531721563283992893e-01
5.505376344086021163e+02,5.174825174825174734e-02,5.514784946236559335e+02,3.626373626373626813e-01,5.801747311827957674e+02,5.654345654345653560e-02,4.425000000000000000e+02,1.315244332706344207e-02,3.297410069838503655e-02,2.576922075060849027e-01
5.571236559139784958e+02,8.771228771228771481e-02,5.585349462365591080e+02,3.442557442557442893e-01,5.961693548387096371e+02,5.894105894105895749e-02,4.450000000000000000e+02,1.178755874382923959e-02,3.551748710122047681e-02,2.617824159726034328e-01
5.684139784946236205e+02,1.644355644355644519e-01,5.670026881720430083e+02,3.122877122877122935e-01,6.055779569892472409e+02,5.574425574425574681e-02,4.475000000000000000e+02,1.067017474231780720e-02,3.882917640865531095e-02,2.653542878963184304e-01
5.834677419354839003e+02,2.907092907092907463e-01,5.768817204301075208e+02,2.667332667332667495e-01,6.196908602150538172e+02,5.254745254745256389e-02,4.500000000000000000e+02,9.693374419725031901e-03,4.318440026297031692e-02,2.683193294455932798e-01
5.933467741935482991e+02,3.546453546453546823e-01,5.881720430107527591e+02,2.043956043956043911e-01,6.399193548387097508e+02,5.334665334665335268e-02,4.525000000000000000e+02,8.759236462072817614e-03,4.886198662176220037e-02,2.705890467887910877e-01
5.971102150537634543e+02,3.738261738261738354e-01,5.989919354838709751e+02,1.604395604395604802e-01,6.573252688172042326e+02,5.894105894105895749e-02,4.550000000000000000e+02,7.870435512750300830e-03,5.601326536248029536e-02,2.720984566548038663e-01
6.022849462365591080e+02,3.882117882117882557e-01,6.121639784946236205e+02,1.268731268731269068e-01,6.690860215053762658e+02,7.172827172827174469e-02,4.575000000000000000e+02,7.092706642980973857e-03,6.414990407493069424e-02,2.729005290696552843e-01
6.079301075268817840e+02,3.914085914085914664e-01,6.239247311827957674e+02,1.036963036963037127e-01,6.841397849462365457e+02,8.131868131868132121e-02,4.600000000000000000e+02,6.505194000407644138e-03,7.258360722793280595e-02,2.730851463816168501e-01
6.140456989247311412e+02,3.898101898101898333e-01,6.342741935483870748e+02,8.931068931068932015e-02,6.991935483870968255e+02,8.771228771228771481e-02,4.625000000000000000e+02,6.264350315793791417e-03,8.089255555142677023e-02,2.727422036172808539e-01
6.229838709677419502e+02,3.794205794205794402e-01,6.441532258064515872e+02,7.972027972027971587e-02,7.123655913978494709e+02,8.771228771228771481e-02,4.650000000000000000e+02,6.556285915716153316e-03,8.944196517968244775e-02,2.719612577196066638e-01
6.305107526881720332e+02,3.602397602397602872e-01,6.559139784946236205e+02,7.892107892107892708e-02,7.297715053763440665e+02,8.451548451548453189e-02,4.675000000000000000e+02,7.555084934530428842e-03,9.874161075963056033e-02,2.708193667710666053e-01
